id_attacker_group,attacker_group
1,01-May
2,14 K Triad
3,14 March Coalition
4,14th of December Command
5,15th of September Liberation Legion
6,16 January Organization for the Liberation of Tripoli
7,1920 Revolution Brigades
8,19th of July Christian Resistance Brigade
9,1st of May Group
10,2 April Group
11,20 December Movement (M-20)
12,22-May-48
13,23 May Democratic Alliance (Algeria)
14,23rd of September Communist League
15,28 February Armed Group
16,28 May Armenian Organization
17,28s
18,28th of December Group
19,2nd of June Movement
20,31 January People's Front (FP-31)
21,313 Brigade (Syria)
22,4 August National Organization
23,7 April Libyan Organization
24,09-Feb
25,9 May People's Liberation Force
26,A Resistance Group
27,A'chik Matgrik Elite Force (AMEF)
28,Aba Cheali Group
29,Abbala extremists
30,Abd al-Krim Commandos
31,Abdul Ghani Kikli Militia
32,Abdul Qader Husseini Battalions of the Free Palestine movement
33,Abdullah Azzam Brigades
34,Abida Tribe
35,Abkhazian guerrillas
36,Abkhazian Separatists
37,Abstentionist Brigades
38,Abu Abbas Brigade
39,Abu Amarah Battalion
40,Abu Bakr Unis Jabr Brigade
41,Abu Hassan
42,Abu Jaafar al-Mansur Brigades
43,Abu Musa Group
44,Abu Nidal Organization (ANO)
45,Abu Obaida bin Jarrah Brigade
46,Abu Salim Martyr's Brigade
47,Abu Sayyaf Group (ASG)
48,Abu Tira (Central Reserve Forces)
49,Aceh Singkil Islamic Care Youth Students Association (PPI)
50,Achik Matgrik Army (AMA)
51,Achik National Cooperative Army (ANCA)
52,Achik National Liberation Army (ANLA)
53,Achik National Volunteer Council (ANVC)
54,Achik National Volunteer Council-B (ANVC-B)
55,Achik Songna An'pachakgipa Kotok (ASAK)
56,Achik Tiger Force
57,Achwan-I-Mushbani
58,Actiefront Nationalistisch Nederland
59,Action Cell Haukur Hilmarsson
60,Action Directe
61,Action Front for the Liberation of the Baltic Countries
62,Action Front Nationalist Librium
63,Action Group for Communism
64,Action Group for the Destruction of the Police State
65,Action Squad
66,Action Struggle Against the World
