id_geography,city,province,country,region,id_country
1,Abjin,Badakhshan,Afghanistan,South Asia,1
2,Angarian,Badakhshan,Afghanistan,South Asia,1
3,Arghanj Khaw district,Badakhshan,Afghanistan,South Asia,1
4,Argo district,Badakhshan,Afghanistan,South Asia,1
5,Baharak district,Badakhshan,Afghanistan,South Asia,1
6,Baharestan,Badakhshan,Afghanistan,South Asia,1
7,Basand,Badakhshan,Afghanistan,South Asia,1
8,Batash,Badakhshan,Afghanistan,South Asia,1
9,Chongai,Badakhshan,Afghanistan,South Asia,1
10,Dar i Yakh,Badakhshan,Afghanistan,South Asia,1
11,Dara-e Khistak,Badakhshan,Afghanistan,South Asia,1
12,Darayim district,Badakhshan,Afghanistan,South Asia,1
13,Darwaz district,Badakhshan,Afghanistan,South Asia,1
14,Darwazbala district,Badakhshan,Afghanistan,South Asia,1
15,Dawing,Badakhshan,Afghanistan,South Asia,1
16,Dawlatabad,Badakhshan,Afghanistan,South Asia,1
17,Deh Bala,Badakhshan,Afghanistan,South Asia,1
18,Deh Naw,Badakhshan,Afghanistan,South Asia,1
19,Faizabad,Badakhshan,Afghanistan,South Asia,1
20,Faizabad district,Badakhshan,Afghanistan,South Asia,1
21,Faqir,Badakhshan,Afghanistan,South Asia,1
22,Gardana,Badakhshan,Afghanistan,South Asia,1
23,Gardana Ahmad,Badakhshan,Afghanistan,South Asia,1
24,Garjak,Badakhshan,Afghanistan,South Asia,1
25,Ghaib,Badakhshan,Afghanistan,South Asia,1
26,Ghanio,Badakhshan,Afghanistan,South Asia,1
27,Iskan,Badakhshan,Afghanistan,South Asia,1
28,Jaghtu,Badakhshan,Afghanistan,South Asia,1
29,Jurm,Badakhshan,Afghanistan,South Asia,1
30,Jurm district,Badakhshan,Afghanistan,South Asia,1
31,Keshem,Badakhshan,Afghanistan,South Asia,1
32,Keshem district,Badakhshan,Afghanistan,South Asia,1
33,Keshoo,Badakhshan,Afghanistan,South Asia,1
34,Khanabad district,Badakhshan,Afghanistan,South Asia,1
35,Khash district,Badakhshan,Afghanistan,South Asia,1
36,Khastak,Badakhshan,Afghanistan,South Asia,1
37,Kishim,Badakhshan,Afghanistan,South Asia,1
38,Kohistan district,Badakhshan,Afghanistan,South Asia,1
39,Kunkad,Badakhshan,Afghanistan,South Asia,1
40,Kuran Wa Munjan,Badakhshan,Afghanistan,South Asia,1
41,Kuran Wa Munjan district,Badakhshan,Afghanistan,South Asia,1
42,Lab Dara,Badakhshan,Afghanistan,South Asia,1
43,Mughlan,Badakhshan,Afghanistan,South Asia,1
44,Mulayan,Badakhshan,Afghanistan,South Asia,1
45,Mushatel,Badakhshan,Afghanistan,South Asia,1
46,Nasratabad,Badakhshan,Afghanistan,South Asia,1
47,Naw Abad-e-Danishmandan,Badakhshan,Afghanistan,South Asia,1
48,Pateer,Badakhshan,Afghanistan,South Asia,1
49,Petawak,Badakhshan,Afghanistan,South Asia,1
50,Qalfo,Badakhshan,Afghanistan,South Asia,1
51,Qarska,Badakhshan,Afghanistan,South Asia,1
52,Qarya Mughaib,Badakhshan,Afghanistan,South Asia,1
53,Raghistan district,Badakhshan,Afghanistan,South Asia,1
54,Safid Yalor,Badakhshan,Afghanistan,South Asia,1
55,Shahada district,Badakhshan,Afghanistan,South Asia,1
