id_country,Year,Score
1,2010,8.017
1,2011,8.052
1,2012,8.669
1,2013,8.661
1,2014,9.39
1,2015,9.233
1,2016,9.444
1,2017,9.441
1,2018,9.391
1,2019,9.603
1,2020,9.592
2,2010,0.458
2,2011,0.229
2,2012,0.119
2,2013,0.057
2,2014,0.19
2,2015,2.116
2,2016,1.103
2,2017,1.487
2,2018,1.008
2,2019,0.42
2,2020,0.677
3,2010,6.233
3,2011,5.951
3,2012,5.831
3,2013,5.087
3,2014,5.52
3,2015,4.75
3,2016,4.282
3,2017,3.97
3,2018,3.763
3,2019,3.409
3,2020,2.696
5,2010,1.198
5,2011,2.25
5,2012,1.696
5,2013,0.943
5,2014,0.41
5,2015,0.243
5,2016,0
5,2017,0.154
5,2018,4.473
5,2019,3.784
5,2020,3.429
7,2010,0.487
7,2011,2.04
7,2012,1.475
7,2013,1.347
7,2014,1.73
7,2015,1.674
7,2016,0.499
7,2017,0.807
7,2018,1.68
7,2019,1.68
7,2020,1.024
8,2010,0.831
8,2011,0.363
8,2012,0.188
8,2013,0.076
8,2014,0.27
8,2015,0.115
8,2016,0.288
8,2017,2.374
8,2018,1.692
8,2019,1.173
8,2020,0.53
9,2010,0.401
9,2011,0.733
9,2012,1.72
9,2013,0.162
9,2014,0.41
9,2015,3.114
9,2016,2.742
9,2017,3.091
9,2018,2.827
9,2019,2.645
9,2020,2.148
10,2010,2.198
10,2011,1.552
10,2012,1.408
10,2013,0.635
10,2014,0.24
10,2015,2.088
10,2016,0.182
10,2017,1.522
10,2018,1.852
10,2019,1.655
10,2020,1.016
11,2010,2.134
11,2011,1.496
11,2012,0.867
11,2013,0.339
11,2014,0.06
11,2015,1.381
11,2016,0.346
11,2017,1.153
11,2018,0.957
11,2019,0.698
11,2020,0.296
13,2010,0.382
13,2011,0.943
13,2012,0.616
13,2013,3.458
13,2014,4.41
13,2015,4.871
13,2016,4.206
13,2017,3.668
13,2018,3.883
13,2019,3.201
13,2020,2.402
14,2010,3.941
14,2011,3.923
14,2012,3.672
14,2013,3.729
14,2014,5.25
14,2015,5.921
14,2016,6.479
14,2017,6.181
14,2018,5.697
14,2019,5.208
14,2020,4.909
16,2010,1.793
16,2011,1.753
16,2012,4.256
16,2013,3.393
16,2014,2.85
16,2015,2.125
16,2016,1.357
16,2017,0.038
16,2018,0
16,2019,0
16,2020,0
17,2010,0.267
17,2011,0.134
17,2012,0.069
17,2013,1.149
17,2014,0.53
17,2015,1.977
17,2016,1.245
17,2017,4.656
17,2018,4.06
17,2019,3.636
17,2020,3.043
19,2010,0.115
19,2011,0.057
19,2012,0.03
19,2013,0
19,2014,0
19,2015,0
19,2016,0
19,2017,0
19,2018,0
19,2019,0
19,2020,0.663
20,2010,1.743
20,2011,1.091
20,2012,1.235
20,2013,0.516
20,2014,0.16
20,2015,0.305
20,2016,0.115
20,2017,0.038
20,2018,0.019
20,2019,0.01
20,2020,0
21,2010,1.601
21,2011,0.943
21,2012,0.415
21,2013,0.468
21,2014,0.24
21,2015,0.076
21,2016,0.038
21,2017,0.019
21,2018,0
21,2019,3.387
21,2020,2.795
22,2010,1.446
22,2011,1.67
22,2012,1.369
22,2013,0.565
22,2014,0.76
22,2015,1.516
22,2016,2.675
22,2017,2.029
22,2018,1.339
22,2019,1.388
22,2020,0.677
23,2010,0
23,2011,0
23,2012,0
23,2013,0
23,2014,0
23,2015,0
23,2016,0
23,2017,0
23,2018,0
23,2019,0
23,2020,0
24,2010,0.258
24,2011,0.129
24,2012,0
24,2013,0.663
24,2014,1.72
24,2015,2.207
24,2016,1.74
24,2017,1.572
24,2018,1.388
24,2019,2.53
24,2020,2.443
26,2010,0.076
26,2011,0.038
26,2012,0.741
26,2013,3.01
26,2014,2.58
26,2015,2.421
26,2016,1.631
26,2017,1.178
26,2018,0.315
26,2019,0.372
26,2020,0.172
27,2010,0
27,2011,0
27,2012,0
27,2013,0
27,2014,0.7
27,2015,0.305
27,2016,2.623
